Device Time, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(Total)(g),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Ambient air temp(°F),Engine Coolant Temperature(°F),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°F),Engine RPM(rpm),Fuel Level (From Engine ECU)(%),Fuel pressure(psi),Mass Air Flow Rate(g/s),Positive Kinetic Energy (PKE)(km/hr²),Timing Advance(°),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
19-Jan-2023 13:32:01.602,-0.84825563,2.64167619,9.75194836,0.05253297,0.01,-,-,-,-,111.2,-,-,-,950.5,-,-,5.36999989,-,-,-,-
19-Jan-2023 13:32:02.601,-1.43449712,1.94536483,8.87677383,-0.04318517,0.03,-,-,-,-,111.2,-,-,-,947.75,-,-,5.36999989,-,-,-,-
19-Jan-2023 13:32:03.602,-0.58145589,2.60638213,9.69571781,0.04415303,0,-,-,-,-,111.2,46.66666794,-,-,1075.25,-,37.4197364,5.48000002,-,-,-,-
19-Jan-2023 13:32:04.601,-0.83030945,2.27258325,9.71785069,0.03984839,0,-,-,-,-,111.2,46.66666794,-,-,1075.25,-,37.4197364,5.48000002,-,23,-,-
19-Jan-2023 13:32:05.601,-0.71605217,2.52622247,9.92901802,0.06592578,0.06,-,-,-,-,111.2,46.66666794,-,-,1075.25,-,37.4197364,5.48000002,-,23,-,-
19-Jan-2023 13:32:06.601,-0.87038922,2.14875484,9.58804035,0.02453941,-0.02,-,-,-,-,111.2,46.66666794,-,-,1075.25,-,37.4197364,5.48000002,-,23,-,14.5
19-Jan-2023 13:32:07.601,-0.87637126,2.00578356,9.92841911,0.0553754,-0.03,-,-,-,-,111.2,46.66666794,-,-,1075.25,-,37.4197364,5.48000002,-,23,-,14.5
19-Jan-2023 13:32:08.601,-0.80159557,1.95433784,9.80698395,0.04161924,0.02,-,-,-,-,111.2,45.49019623,-,-,1099,-,45.25177426,5.59000015,-,21.5,-,14.5
19-Jan-2023 13:32:09.600,-0.35533416,2.68055964,9.68016434,0.04353958,0,-,-,-,-,111.2,45.49019623,-,-,1099,-,45.25177426,5.59000015,-,21.5,-,14.5
19-Jan-2023 13:32:10.601,-0.62213391,2.3425734,9.76750183,0.04486507,0.02,-,-,-,-,111.2,45.49019623,-,-,1099,-,45.25177426,5.59000015,-,21.5,-,14.60000038
19-Jan-2023 13:32:11.601,-0.59461641,2.78883481,9.49053288,0.02915913,0,-,-,-,-,111.2,45.49019623,-,-,1099,-,45.25177426,5.59000015,-,21.5,-,14.60000038
